SchoolCode,Phase,School,AddressLine1,AddressLine2,AddressLine3,PostCode,X_REF,Y_REF,Telephone,Email,Website,Headteacher,NumberOfPupils,NumberOfPlacesAvailable,Area,AgeRangeMinimum,AgeRangeMaximum,Nearest,"Non Nearest","Priority 1A","Priority 1B","Priority 2","Priority 3","Priority 4","Priority 5",Allocated,"EHCP / Statement",LAC,"Nearest Placed","Non Nearest Placed",Placed,SEN,Siblings,Notes,"Better Access","Breakfast Club","Childrens Centre","Cycle Storage","Designated School Bus","Free Foundation Education","Fully integrated early education","Out of School Care","Parents Waiting Shelter","Reduction in Car Travel","Road Safety Training","Safe Route to School","School Crossing Patrol","School Travel Plan","SIF Required","Special Needs","Walking Initiative","Yellow Bus"
2484,Primary,"Armley Primary School","Salisbury Terrace",,Leeds,"LS12 2AY",427144,433927,"0113 263 9216",cooper.jennifer@armleyprimary.org.uk,http://www.armley-pri.leeds.sch.uk,"Ms C Burrill",177,30,W,3,11,0.286,0.472,1,,15,,12,2,,,,,,,,,,1,1,,,,1,,,1,,1,,,1,,,,
2401,Primary,"Ashfield Primary School","Weston Lane",Otley,Leeds,"LS21 2DF",419272,446259,"0194 346 3341",info@ashfieldprimary.co.uk,http://www.ashfieldprimary.co.uk,"Ms S Parker",212,30,NW,3,11,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,1,1,,1,,1,1,,,,
2512,Primary,"Asquith Primary School","Horsfall Street",Morley,Leeds,"LS27 9QY",425775,428846,"0113 307 5550",hayley.walton@asquithprimary.org,http://www.asquithprimary.leeds.sch.uk/,"Ms G Austerfield",261,60,S,3,11,,,,,,,,,,,,,,,,,,1,1,,1,,,,1,1,,1,,,1,,,1,
2463,Primary,"Austhorpe Primary School (Foundation)","Austhorpe Lane",,Leeds,"LS15 8TP",437213,433658,"0113 264 0450",office@austhorpeprimary.org,http://www.austhorpe.leeds.sch.uk/,"Ms C Robinson",210,30,E,4,11,0.474,,2,,11,,17,,,,,,,,,,"Not all nearest allocated",1,,,1,,1,1,,,,1,,,1,,,,
2425,Primary,"Bankside Primary School","Shepherd Lane",,Leeds,"LS8 5AW",431551,435482,"0113 336 8383",school.office@banksideprimary.org,http://banksideprimary.org/,"Ms S Rutty",632,90,NE,3,11,0.423,0.16,1,,48,,39,2,,,,,,,,,,1,1,,1,,1,,,1,1,1,1,1,1,,,1,
2385,Primary,"Bardsey Primary School","Woodacre Lane",Bardsey,Leeds,"LS17 9DG",436392,443452,"0193 757 2612",office@bardseyprimary.org.uk,http://www.bardseyprimary.org.uk/,"Mrs S Clark",165,30,NE,4,11,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,
3033,Primary,"Barwick in Elmet Church of England Primary School","Chapel Lane",Bawick-in-Elmet,Leeds,"LS15 4HL",440257,437237,"0113 281 2132",office@barwick-in-elmet.leeds.sch.uk,http://www.barwick-in-elmetschool.sch.uk,"Mrs S A Sanderson",158,30,N,3,11,0.423,8.275,,,15,,7,9,,,,,,,,,"Last child allocated was a twin.",1,,,1,,1,,1,,,1,,,1,,,,
2444,Primary,"Beechwood Primary School","Kentmere Avenue",,Leeds,"LS14 6QB",435141,435924,"0113 293 0250",office@beechwoodprimaryschool.co.uk,http://www.beechwoodprimaryschool.co.uk/,"Mr S Hilton",388,60,E,3,11,0.451,0.527,,,35,,9,16,,,,,,,,,,1,1,,,,1,,,1,,1,,1,1,,,,
2407,Primary,"Beecroft Primary School","Eden Way",,Leeds,"LS4 2TF",426699,435205,"0113 214 4562",info@beecroft.leeds.sch.uk,http://www.beecroft.leeds.sch.uk/,"Miss J A Turner",259,30,NW,3,11,0.733,1.051,,,10,,21,14,,,,,,,,,,1,1,,1,,1,,1,1,1,,1,1,1,,,1,
3913,Primary,"Beeston Hill St Lukes Church of England Primary School (Voluntary Aided)","Beeston Road",,Leeds,"LS11 8ND",429554,431876,"0113 214 5217",hayley.chalders@bsl.leeds.sch.uk,http://www.bsl.sch.uk,"Ms L Booth",337,45,S,3,11,,,,,,,,,,,,,,,,,,1,,,1,,1,,,1,,1,,1,1,1,,,
2470,Primary,"Beeston Primary School (Foundation)","Town Street",,Leeds,"LS11 8PN",428228,430736,"0113 271 6978",office@beestonprimary.org,http://www.beestonprimaryschool.co.uk,"Mr C Lees",541,90,S,3,11,0.304,0.676,,,47,,8,35,,,,,,,,,,,1,,1,,1,,1,1,1,1,,1,1,,,1,
4106,Secondary,"Benton Park School","Harrogate Road",Rawdon,Leeds,"LS19 6LX",420896,440158,"0113 250 2330",secretary@bentonpark.net,http://www.bentonpark.org.uk,"Mr S Dixon & Ms D Martin",1435,232,NW,11,18,,,,,,,,,231/232,,1,,,8,3,83,,,,,1,1,,,,,1,,,,1,,,,
2369,Primary,"Birchfield Primary School","Birchfield Avenue",Gildersome,Leeds,"LS27 7HU",424120,428882,"0113 253 3009",s.wharton@birchfieldprimary.org.uk,http://www.birchfieldprimary.org.uk,"Mr P Turner",203,30,S,3,11,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,1,,,1,
3918,Primary,"Blackgates Primary School","Smithy Lane",Tingley,Wakefield,"WF3 1QQ",428742,425957,"0113 386 2480",info@blackgates.org.uk,http://www.blackgates-pri.leeds.sch.uk,"Mrs E Kay-Devanney",370,60,S,3,11,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,1,,1,,1,1,,,1,
2408,Primary,"Blenheim Primary School","Lofthouse Place",,Leeds,"LS2 9EX",429900,434622,"0113 293 0808",office@blenheimprimaryschool.com,http://www.blenheimprimaryschool.com,"Mrs M Duffy",299,60,NW,3,11,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,,1,1,1,1,,1,,,1,
4114,Secondary,"Boston Spa School (Foundation)","Clifford Moor Road","Boston Spa",Wetherby,"LS23 6RW",442024,445068,"0193 784 6636",info@bostonspa.leeds.sch.uk,http://www.bostonspa.leeds.sch.uk/,"Mr C Walsh",1790,300,NE,11,18,,,,,,,,,139/300,,1,,,1,,52,,,,,1,1,,,,,1,1,,,1,,,,
2433,Primary,"Bracken Edge Primary School","Newton Garth","Newton Road",Leeds,"LS7 4HE",431233,436133,"0113 262 3335",BEPS@brackenedge.leeds.sch.uk,http://www.brackenedge.leeds.sch.uk,"Ms J Harkness",401,60,NE,3,11,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,1,1,1,,,1,,,1,
2329,Primary,"Bramham Primary School - Federated with Shadwell Primary School","Clifford Road",Bramham,Wetherby,"LS23 6JQ",442710,443623,"0193 784 3682",c.kitchen@bramhamprimary.org,http://www.bramhamprimary.co.uk,"Ms S Pyatt",86,20,NE,4,11,0.464,,,,10,,10,,,,,,,,,,"Not all nearest allocated",,,,1,,1,,1,1,,1,,,1,,,1,
2406,Primary,"Bramhope Primary School","Tredgold Crescent",Bramhope,Leeds,"LS16 9BR",425236,442933,"0113 267 1222",susan.hepworth@bramhopeprimaryschool.co.uk,http://www.bramhope.leeds.sch.uk/,"Mrs P Lawson",281,40,NW,4,11,0.592,,,,20,,20,,,,,,,,,,"Not all nearest allocated",1,,,1,,1,,1,1,1,1,,,1,,,,
2485,Primary,"Bramley Primary School","Fairfield Hill",,Leeds,"LS13 3DP",423633,434958,"0113 214 6169",headteacher@bramley.leeds.sch.uk,http://www.bramleyprimary.co.uk,"Mr D Harrison",232,40,W,3,11,,,,,,,,,,,,,,,,,,1,1,,1,,1,,,1,1,1,,,1,,,1,
3054,Primary,"Bramley St Peters Church of England Primary School","Hough Lane",,Leeds,"LS13 3NE",424448,434928,"0113 255 9680",info@bsp.leeds.sch.uk,http://www.bsp.leeds.sch.uk,"Mrs R Esplin",345,60,W,4,11,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,1,1,,1,1,,,1,
4113,Secondary,"Brigshaw High School and Language College (Foundation)","Brigshaw Lane","Allerton Bywater",Castleford,"WF10 2HR",440903,429146,"0113 287 8900",office@brigshaw.com,http://www.brigshaw.com,"Ms C Lennon MA NPQH",1320,240,E,11,18,,,,,,,,,240/240,,5,,,3,3,78,,,,,1,1,,,,1,1,,1,1,1,,,,
2398,Primary,"Broadgate Primary School","North Broadgate Lane",Horsforth,Leeds,"LS18 5AF",424231,438392,"0113 258 2685",office@broadgateprimary.org.uk,http://www.broadgate.ik.org,"Ms E McLellan",250,30,NW,3,11,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,,1,1,,1,1,,,,
3915,Primary,"Brodetsky Primary School (Voluntary Aided)","The George Lyttleton Centre","Wentworth Avenue",Leeds,"LS17 7TN",430181,439856,"0113 293 0578",info@brodetsky.leeds.sch.uk,http://www.brodetsky.leeds.sch.uk,"Mr J Dunford",234,45,NE,3,11,,,,,,,,,,,,,,,,,,1,1,,1,,1,,1,,1,1,,,1,1,,1,
2007,Primary,"Brownhill Primary School (Academy)","Torre Road",,Leeds,"LS9 7DH",432331,434109,"0113 248 9539",secretary@brownhill.leeds.sch.uk,http://www.brownhillleeds.org.uk,"Mrs G Winterburn",389,60,E,3,11,,,,,,,,,,,,,,,,,,1,1,,,,1,,1,,,1,,,1,,,1,
2409,Primary,"Brudenell Primary School (Foundation)","Welton Place",,Leeds,"LS6 1EW",428309,435358,"0113 278 5168",info@brudenell.leeds.sch.uk,http://www.brudenell.leeds.sch.uk,"Mrs J Davies (Acting)",218,40,NW,3,11,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,,1,1,1,,,1,,,1,
4109,Secondary,"Bruntcliffe School","Bruntcliffe Lane",Morley,Leeds,"LS27 0LZ",425212,427723,"0113 252 3225",info@bruntcliffe.net,http://www.bruntcliffe.net,"Mrs H Scott",1300,240,S,11,18,,,,,,,,,72/240,,,,,7,,26,,,,,1,1,,,,,,,,,1,,,,
3052,Primary,"Burley St Matthias Church of England Primary School","Burley Road",,Leeds,"LS4 2HY",427664,434714,"0113 336 7401",jmayhall@burleystmatthias.co.uk,http://www.burleystmatthias.co.uk,"Ms K Cameron & Ms S Collier",169,30,NW,4,11,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,1,,1,1,,,,
3046,Primary,"Calverley Church of England Primary School",Towngate,Calverley,Leeds,"LS28 5NF",420825,437223,"0113 257 5127",sewell.js@calverleyce.co.uk,http://www.calverleycofeprimaryschool.co.uk/,"Mrs J Putsman",319,60,W,4,11,0.735,0.988,1,,28,,3,28,,,,,,,,,,,,,,,,,1,1,1,,,1,1,,,,
2301,Primary,"Calverley Parkside Primary School","Victoria Street",Calverley,Leeds,"LS28 5PQ",420612,436888,"0113 257 0884",headteacher@calverleyparkside.leeds.sch.uk,http://www.calverleyparkside.leeds.sch.uk/,"Mrs A Duncalf",204,30,W,3,11,0.273,,,,12,,18,,,,,,,,,,"Not all nearest allocated",,,,,,1,,1,1,1,1,,,1,,,1,
4751,Secondary,"Cardinal Heenan Catholic High School","Tongue Lane",,Leeds,"LS6 4QE",429035,438145,"0113 887 3240",info@cardinalheenan.com,http://www.cardinalheenan.com,"Miss E A Cox",900,180,NE,11,16,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,1
2308,Primary,"Carlton Primary School","New Road",,Carlton,"WF3 3RE",433635,427168,"0113 214 6316",enquiries@carltonprimaryschool.co.uk,http://www.carltonprimaryschool.co.uk,"Mrs J Cooper",315,45,S,3,11,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,1,,1,1,,,1,
4041,"Secondary (Through School)","Carr Manor Community School (Primary)","Carr Manor Road",,Leeds,"LS17 5DJ",429425,437542,"0113 336 8401",office@carrmanor.org.uk,http://www.carrmanor.org.uk,"Mr S Flowers",315,30,NE,4,11,0.511,,1,,39,,20,,,,,,,,,,"Not all nearest allocated",,,,,,,,,,,,,,1,,,,
4041,"Secondary (Through School)","Carr Manor Community School (Secondary)","Carr Manor Road",,Leeds,"LS17 5DJ",429425,437542,"0113 336 8400",info@carrmanor.org.uk,http://www.carrmanor.org.uk,"Mr S Flowers",900,180,NE,4,18,,,,,,,,,180/180,,3,,,7,1,55,,,,,1,1,,,,1,,1,,,1,,,1,1
2437,Primary,"Carr Manor Primary School","Carr Manor Road",,Leeds,"LS17 5DJ",429618,437771,"0113 268 9160",office@carrmanorprimary.org.uk,http://www.carrmanor-pri.leeds.sch.uk,"Mrs D Kenny",424,60,NE,3,11,,,,,,,,,,,,,,,,,,,1,,1,,1,1,1,1,1,1,,1,1,,,1,
2486,Primary,"Castleton Primary School","Green Lane",,Leeds,"LS12 1JZ",428038,433009,"0113 263 7756",headteacher@castletonleeds.org.uk,http://www.castleton.leeds.sch.uk,"Mrs J Norfolk",213,30,W,3,11,0.218,0.494,,,11,,11,8,,,,,,,,,,1,1,,1,,1,,1,1,1,1,1,1,1,,,,1
2427,Primary,"Chapel Allerton Primary School","Harrogate Road",,Leeds,"LS7 3PD",430560,436844,"0113 262 4851",c.easton@chapelallertonprimary.co.uk,http://www.chapelallertonprimary.co.uk,"Mr N Sykes",420,60,NE,3,11,0.374,0.926,1,,22,,12,25,,,,,,,,,,1,1,,1,,1,,1,1,,1,1,,1,,,1,
3055,Primary,"Christ Church Upper Armley Church of England Primary School","Theaker Lane",,Leeds,"LS12 3NU",426647,433747,"0113 263 8606",admin@ccuaprimary.org.uk,http://www.christchurchupperarmley.ik.org/,"Ms A OConnor",180,30,W,4,11,0.307,0.516,,,13,,10,7,,,,,,,,,,,1,,,,,,,1,,1,1,,1,,,1,
3369,Primary,"Christ the King Catholic Primary School Bramley (Voluntary Aided)","Kings Approach",,Leeds,"LS13 2DX",425250,434487,"0113 257 9230",office@ctkcps.org.uk,http://www.christtheking.leeds.sch.uk,"Mr N Ryan",200,30,W,4,11,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,1,1,1,,1,1,,,
2286,Primary,"Churwell Primary School","Westwood Side",Morley,Leeds,"LS27 9HR",426713,429206,"0113 252 7437",office@churwellprimary.org.uk,http://www.churwell.schooljotter2.com,"Mr C Summers",405,60,S,3,11,0.439,0.611,2,,18,,28,12,,,,,,,,,,1,1,,1,,1,,1,1,1,1,,1,1,,,1,
4061,Secondary,"City of Leeds School","Bedford Field","Woodhouse Cliff",Leeds,"LS6 2LG",429161,435796,"0113 336 8310",info@cityofleeds.org,http://www.cityofleeds.org/,"Ms G Sale",318,150,NW,11,18,,,,,,,,,52/150,,,,,17,1,12,,,,,1,,,,,,,,,,1,,,,
2482,Primary,"Clapgate Primary School","Cranmore Drive",,Leeds,"LS10 4AW",431758,428488,"0113 271 6700",beltm@westwoodandclapgate.org,http://www.clapgate.leeds.sch.uk,"Mrs Z Adams",316,60,S,3,11,,,,,,,,,,,,,,,,,,1,1,,1,,1,,1,1,1,1,,,1,,,1,
2487,Primary,"Cobden Primary School","Cobden Road",,Leeds,"LS12 5LA",425752,431890,"0113 214 3567",office@cobden.leeds.sch.uk,http://www.cobden.leeds.sch.uk,"Mrs P Head",200,30,W,3,11,0.688,0.319,,,13,,12,4,,,,,,,1,,,1,1,,1,,1,,1,1,,1,,,1,,,,1
4047,Secondary,"Cockburn School (Foundation)",Parkside,"Gipsy Lane",Leeds,"LS11 5TT",429194,429451,"0113 271 9962",info@cockburnschool.org,http://www.cockburnschool.org/,"Mr D Gurney",1098,210,S,11,16,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,1,,1,,,1,1
3357,Primary,"Collingham Lady Elizabeth Hastings Church of England Primary School (Voluntary Aided)","Linton Road",,Leeds,"LS22 5BS",438365,446015,"0193 757 3117",office@collinghamschool.org,http://www.collinghamschool.com,"Mrs B Robertson",210,30,NE,4,11,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,1,1,,,1,,,1,
2453,Primary,"Colton Primary School (Foundation)","School Lane",,Leeds,"LS15 9AL",437173,433005,"0113 264 7514",colton.school@colton.org.uk,http://www.colton.leeds.sch.uk,"Mrs S Harrison",206,30,E,3,11,0.349,,,,16,,14,,,,,,,,,,"Not all nearest allocated",1,1,,1,,1,,1,1,,1,1,1,1,,,1,
3903,Primary,"Cookridge Holy Trinity C of E Primary School (Voluntary Aided)","Green Lane",,Leeds,"LS16 7EZ",424885,440313.8,"0113 225 3040",info@holytrinity.leeds.sch.uk,http://www.holytrinity.leeds.sch.uk,"Mrs C Harbrow",415,60,NW,4,11,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,1,1,1,,1,
2418,Primary,"Cookridge Primary School (Foundation)","Tinshill Drive",,Leeds,"LS16 7DH",425402,439981,"0113 386 2500",info@cookridge.leeds.sch.uk,http://www.cookridgeprimaryschool.org.uk,"Mrs S Bailey",319,45,NW,4,11,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,1,1,1,,,1,,,1,
4065,Secondary,"Co-operative Academy of Leeds","Stoney Rock Lane",,Leeds,"LS9 7HD",431563,434080,"0113 380 7940",info@cal.coop,http://www.cal.coop,"Ms E McCarthy",965,180,E,11,18,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,1,,,,
4752,Secondary,"Corpus Christi Catholic College (Voluntary Aided)","Neville Road",,Leeds,"LS9 0TT",434033,433556,"0113 200 9010",info@corpuschristicollege.leeds.sch.uk,http://www.corpuschristicollege.leeds.sch.uk/,"Mr S Mort",944,184,E,11,16,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,1
3370,Primary,"Corpus Christi Catholic Primary School (Voluntary Aided)","Halton Moor Avenue",,Leeds,"LS9 0HA",433947,433538,"0113 248 3095",j.midgley@corpusprimaryleeds.org,http://leeds.schooljotter.com/corpusleeds,"Mrs W M Walsh",362,45,E,4,11,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,1,1,1,,1,1,,1,
2006,Primary,"Cottingley Primary School Academy","Dulverton Grove",,Leeds,"LS11 0HU",427480,430316,"0113 270 9503",office@cottingleyprimaryacademy.org,http://www.cottingley.leeds.sch.uk,"Mrs L A White",244,45,S,3,11,0.205,,,,12,,33,,,,,,,,,,"Not all nearest allocated",1,1,1,1,,1,1,1,1,1,1,,,1,,1,1,
4107,Secondary,"Crawshaw School (Academy)","Robin Lane",Pudsey,Leeds,"LS28 9HU",422722,432964,"0113 336 8540",info@crawshawacademy.org.uk,http://www.crawshawacademy.org.uk,"Mr Adam Daly",1115,195,W,11,18,,,,,,,,,150/195,,2,,,12,,48,,,,,1,1,,,,,,,,,1,,,,1
2458,Primary,"Cross Gates Primary School","Poole Crescent",,Leeds,"LS15 7NB",435535,434590,"0113 264 5763",admin@crossgates.leeds.sch.uk,http://www.leeds.gov.uk/,"Mrs R Hamer",207,30,E,3,11,0.21,0.788,1,,9,,9,11,,,,,,,,,,1,1,,,,1,,,1,1,1,,,1,,,,1
2347,Primary,"Crossley Street Primary School","Crossley Street",Wetherby,Leeds,"LS22 6RT",440189,448438,"0193 752 0301",linda.mann@crossleystreet.leeds.sch.uk,http://www.crossleystreet.leeds.sch.uk,"Mrs S Clynes",211,30,NE,3,11,0.63,,,,15,,15,,,,,,,,,,"Not all nearest allocated",1,,,1,,1,,,1,1,1,1,1,1,,,1,
6905,Secondary,"David Young Community Academy (DYCA)","Bishops Way",Seacroft,Leeds,"LS14 6NU",434527,436067,"0113 273 9100",info@dyca.org.uk,http://www.dyca.org.uk,"Ms R McMullen BA(Hons) NPQH",900,180,E,11,18,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,1,,,1,1
2400,Primary,"Deighton Gates Primary School","Deighton Road",Wetherby,Leeds,"LS22 7Xl",440193,449571,"0193 758 4359",staff@deightongates.leeds.sch.uk,http://www.deightongates.leeds.sch.uk,"Mrs C Harrison",210,30,NE,4,11,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,1,,,1,
3921,Primary,"Drighlington Primary School","Moorland Road",,Drighlington,"BD11 1JY",422422,428610,"0113 386 2390",info@drighlingtonprimary.org.uk,http://www.drighlingtonprimary.co.uk,"Ms S Jackson",370,60,S,3,11,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,1,1,1,1,,,,
4000,Secondary,"E-ACT Leeds East Academy","South Parkway",Seacroft,Leeds,"LS14 6TY",435573,435612,"0113 273 1964",info@leedseastacademy.org.uk,http://www.leedseastacademy.org.uk,"Kenwyn Paddy (Principal) Annette Hall (Executive Principal)",1100,180,E,11,18,,,,,,,,,173/180,,3,,,57,,44,,,,,,1,,,,,1,,1,,1,,,1,1
2504,Primary,"East Ardsley Primary School","Fall Lane","East Ardsley",Wakefield,"WF3 2BA",430766,425516,"0113 887 9023",office@eastardsley.org.uk,http://www.eastardsley.leeds.sch.uk,"Mrs J Wedlinscky",341,45,S,3,11,,,,,,,,,,,,,,,,,,1,,,1,,1,,,1,1,1,,1,1,,,1,
2395,Primary,"East Garforth Primary School (Foundation)","Aberford Road",Garforth,Leeds,"LS25 2HF",441726,433713,"0113 212 7100",info@egpa.org.uk,http://egpa.org.uk,"Mr D Eaton",342,40,E,3,11,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,1,1,1,,1,,,1,
2446,Primary,"Ebor Gardens Primary School","Rigton Drive",,Leeds,"LS9 7PY",431549,433879.8,"0113 248 2750",business.manager@eborgardensprimary.co.uk,http://www.eborgardensprimary.co.uk,"Mrs K Depledge",366,60,E,3,11,0.517,2.264,,,28,,14,18,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,
4026,Secondary,"Farnley Academy","Chapel Lane",,Leeds,"LS12 5EU",425136,431969,"0113 263 0741",info@farnley.leeds.sch.uk,http://www.farnley.leeds.sch.uk,"Executive Principal Mr J. A. Townsley Principal Mr J. Ziltener",830,210,W,11,18,,,,,,,,,,,4,79,65,,,94,,,,,1,,,,,,,,1,,1,,,1,
2505,Primary,"Farsley Farfield Primary School","Cote Lane",Farsley,Leeds,"LS28 5ED",421048,434857,"0113 205 8130",office@farsleyfarfield.org.uk,http://www.farsleyfarfield.org.uk,"Mr P Harris",420,60,W,3,11,0.37,0.916,,,32,,12,15,,1,,,,,,,,1,,,1,,1,1,1,1,1,1,,,1,,,1,
2338,Junior,"Farsley Springbank Junior School","Wesley Street",Farsley,Leeds,"LS28 5LE",421900,435239,"0113 255 8719",Info@farsleyspringbank.co.uk,http://www.farsleyspringbankjuniorschool.co.uk/,"Miss S Percival",233,60,W,7,11,0.4,0.751,,,21,,18,21,,,,,,,,,,1,,,,,1,1,1,1,1,1,1,,1,,,,
2302,Infant,"Farsley Westroyd Infant School","Frances Street",Farsley,Leeds,"LS28 5BH",421708,434817,"0113 255 1601",ruth.hall@westroyd.leeds.sch.uk,http://www.westroydinfantschool.co.uk,"Ms J Todd",181,60,W,4,7,0.396,1.189,,,3,,16,11,,,,,,,,,,,,,,,1,,,1,1,,,1,1,,,1,
2469,Primary,"Fieldhead Carr Primary School","Naburn Approach",,Leeds,"LS14 2EG",435846,438065,"0113 293 0226",fhcschool@fieldheadcarr.leeds.sch.uk,http://www.fieldheadcarr.leeds.sch.uk,"Mr N Edensor",204,30,E,3,11,0.637,0.719,,,12,,11,7,,,,,,,,,,1,,,1,,1,,1,1,1,1,1,,1,,,1,
2492,Primary,"Five Lanes Primary School","Stradbroke Way",,Leeds,"LS12 4NB",427161,432757,"0113 279 0122",info@fivelanesprimary.co.uk,http://www.fivelanes.leeds.sch.uk,"Mrs J Fiddes",410,60,W,3,11,0.515,0.45,1,,27,,26,6,,,,,,,,,,,,,1,,1,,1,1,1,1,1,1,1,,,1,
3926,Primary,"Fountain Primary School","Fountain Street",Morley,Leeds,"LS27 0AW",425820,426999,"0113 886 8335",info@fountainprimary.leeds.sch.uk,http://www.fountainprimary.leeds.sch.uk,"Mr A Eastwood",437,60,S,3,11,1.098,0.911,,,18,,37,5,,,,,,,,,,1,,,1,,1,,1,1,1,1,,1,1,,,,1
